dataset,official_split,image_id,original_filename,source_shard,augmentation_round,selected,valid_crop_count,usage_split,used_for_training
fashionpedia,train2020,15131,711959e43dd0f0cd7925b47ec1f5af83.jpg,2,2,true,3,train,true
fashionpedia,train2020,15134,5d9c3a545c8b26186387b16da9520fa9.jpg,2,2,true,1,train,true
fashionpedia,train2020,15138,d4516b433caa673747f35c19ed94d370.jpg,2,2,true,2,train,true
fashionpedia,train2020,15140,85aa54b09dcb3bd82d01365541a75add.jpg,2,2,true,3,train,true
fashionpedia,train2020,15141,10c0cdba6b6947b6d3305cef3456eee3.jpg,2,2,true,2,train,true
fashionpedia,train2020,15143,43f41d0bcfb0c03f6c20c292e9bf7459.jpg,2,2,true,2,train,true
fashionpedia,train2020,15148,24ec05fdfc3cd2afe30a55d2bb628bfd.jpg,2,2,true,1,train,true
fashionpedia,train2020,15152,a71ee283b20365130f85fa928f36a788.jpg,2,2,true,1,train,true
fashionpedia,train2020,15156,cfe801c7dbecab54fba8d89e181faf8c.jpg,2,2,true,2,train,true
fashionpedia,train2020,15158,ddd880d190a45f276d49db0fee01cd24.jpg,2,2,true,1,train,true
fashionpedia,train2020,15159,c0915e9b18b4911899eedc25376a90bf.jpg,2,2,true,1,train,true
fashionpedia,train2020,15163,bcf0910bb19dc9c818768bff248aa29f.jpg,2,2,true,1,train,true
fashionpedia,train2020,15165,68eb04486d1017bf45bc0c1ef5bf109e.jpg,2,2,true,2,train,true
fashionpedia,train2020,15168,0960679121f1469d3732cb9b344a2412.jpg,2,2,true,2,train,true
fashionpedia,train2020,15175,6995bedc0113de65175045345accc965.jpg,2,2,true,4,train,true
fashionpedia,train2020,15178,367a42f303b92ae1cea315cd11f1dae6.jpg,2,2,true,1,train,true
fashionpedia,train2020,15195,a1b572932e4b865a90e631bb39d4eb3d.jpg,2,2,true,3,train,true
fashionpedia,train2020,15202,a97d0c08cc77a52518e61294e5667184.jpg,2,2,true,2,train,true
fashionpedia,train2020,15204,fff36676cdac2dd8d057783f0e9f24cc.jpg,2,2,true,3,train,true
fashionpedia,train2020,15210,50d629531cc8360bbbcc40cc2d98abf4.jpg,2,2,true,2,train,true
fashionpedia,train2020,15211,18858b8d06c0c55f4e066bd1aede2319.jpg,2,2,true,1,train,true
fashionpedia,train2020,15212,6dc0089ececfe7cbd98289c6e94b8149.jpg,2,2,true,3,train,true
fashionpedia,train2020,15221,ecdd29cec65a2480bde99aa770864e14.jpg,2,2,true,1,train,true
fashionpedia,train2020,15223,004add927302571a7067932d553909e3.jpg,2,2,true,2,train,true
fashionpedia,train2020,15233,d3f49da5dbb207d7ea763c619884511c.jpg,2,2,true,2,train,true
fashionpedia,train2020,15234,33b47e9615014c2c8a66b641d61b7072.jpg,2,2,true,2,train,true
fashionpedia,train2020,15239,be65af3de593a0b14f982c3ecfeffdb1.jpg,2,2,true,2,train,true
fashionpedia,train2020,15247,a73e3668ff2df729c41f006104df0faa.jpg,2,2,true,2,train,true
fashionpedia,train2020,15250,932f4df2b73de705d80ef1743e699406.jpg,2,2,true,2,train,true
fashionpedia,train2020,15256,9320969d954baf5c674cffc077406a77.jpg,2,2,true,2,train,true
fashionpedia,train2020,15277,b3c88fca22a1d58ff3993db635d75a9e.jpg,2,2,true,3,train,true
fashionpedia,train2020,15299,bbdeea7864e5e6588fb90d9efa3733a8.jpg,2,2,true,1,train,true
fashionpedia,train2020,15305,36303303cc1dcf1885e480cda1e13a7e.jpg,2,2,true,3,train,true
fashionpedia,train2020,15315,d0e07355452d29d433366592dc941a9a.jpg,2,2,true,2,train,true
fashionpedia,train2020,15319,e3a8e9038ab4aab2d82489423d38e7c0.jpg,2,2,true,2,train,true
fashionpedia,train2020,15326,56997d330e5cd54759016e9bbbaaba04.jpg,2,2,true,1,train,true
fashionpedia,train2020,15327,8f7351a63c1362c6bdebca75c1c355e7.jpg,2,2,true,1,train,true
fashionpedia,train2020,15339,4313623aa2bf526dc42a5428fdc003e6.jpg,2,2,true,2,train,true
fashionpedia,train2020,15344,c47685f388babc99ad598e515e5371b4.jpg,2,2,true,3,train,true
fashionpedia,train2020,15348,94724a82b7d3927845988bb770cbd119.jpg,2,2,true,2,train,true
fashionpedia,train2020,15355,59a0bdeda1210cbccf7c79d9bc06558a.jpg,2,2,true,2,train,true
fashionpedia,train2020,15357,5c3423cb9da1a004df1891c38d34ef3d.jpg,2,2,true,2,train,true
fashionpedia,train2020,15358,cfc42e4f1adfbf43138212fa49708e3c.jpg,2,2,true,1,train,true
fashionpedia,train2020,15378,c5a703dc64ca4deb51c440beac404656.jpg,2,2,true,3,train,true
fashionpedia,train2020,15389,1fea2e38fe6ffad97cd33ae44ef86bfd.jpg,2,2,true,2,train,true
fashionpedia,train2020,15391,2af21ac718e7c0e8136dc4efc3110d96.jpg,2,2,true,2,train,true
fashionpedia,train2020,15394,560c745295a419157358027162fc6157.jpg,2,2,true,1,train,true
fashionpedia,train2020,15411,86d9e4615d1225346d223700bf6b0de2.jpg,2,2,true,2,train,true
fashionpedia,train2020,15412,20c27b9450a72b35818e9a5c82489627.jpg,2,2,true,2,train,true
fashionpedia,train2020,15414,3238036b9602949b76946b586d618314.jpg,2,2,true,2,train,true
fashionpedia,train2020,15441,2be8aceca55292593e6f971ffba59ebb.jpg,2,2,true,3,train,true
fashionpedia,train2020,15455,db1a29e7deb893c212560a2aa9917802.jpg,2,2,true,3,train,true
fashionpedia,train2020,15462,dc4516205a5e8c906b5ba512903f87cd.jpg,2,2,true,2,train,true
fashionpedia,train2020,15476,ead08255b12a823ee7ac436530efc996.jpg,2,2,true,3,train,true
fashionpedia,train2020,15509,f205bb1a8952487440eee9d423c28a94.jpg,2,2,true,4,train,true
fashionpedia,train2020,15513,205f49feedfafeef2994cd9cdf7e00b9.jpg,2,2,true,1,train,true
fashionpedia,train2020,15524,8851da4d5d3b58739e3da730ed286de3.jpg,2,2,true,1,train,true
fashionpedia,train2020,15534,a338a082c0e3a079a48c7a930f20a7b7.jpg,2,2,true,3,train,true
fashionpedia,train2020,15542,1cc4f3281fe3d3af541583172f506c47.jpg,2,2,true,2,train,true
fashionpedia,train2020,15544,54d9177fa2e6ab23b13b87823867b2c9.jpg,2,2,true,2,train,true
fashionpedia,train2020,15551,9ecf7d41d152aaa8b77bf11573fb6426.jpg,2,2,true,1,train,true
fashionpedia,train2020,15554,43085a8a1b9caf4b0705a9db44bbeded.jpg,2,2,true,2,train,true
fashionpedia,train2020,15563,5761149f299dc125c6d391141e3cb575.jpg,2,2,true,1,train,true
