product_id,category,name,brand_name,brand,image_url,url,image_sha256,cut_type,cut_reviewer,cut_reviewed_at,gold_item_type,gold_fit,gold_length,gold_material,human_reviewer,reviewed_at,label_evidence
MS6955600,top,TRIPLE LAYERED MULTI WAY TOP IN NAVY,마뗑킴,matinkim,https://image.msscdn.net/images/goods_img/20260730/6955600/6955600_17857218106279_500.jpg,https://www.musinsa.com/products/6955600,ad2b804a44a3b7dfb1e36974bcc88c96884b79ef9f9cdfde5a98b27bb7cded37,,,,,,,,,,
MS7059554,top,슬럽 래글런 롱슬리브 [네이비],슬로우애시드,slowacid,https://image.msscdn.net/images/goods_img/20260812/7059554/7059554_17876361717388_500.jpg,https://www.musinsa.com/products/7059554,a118855518c2c70e03770739a52f67412a019df0542269687f7090f65a2097ca,,,,,,,,,,
MS7088559,top,울 캐시미어 딥 브이넥 니트 탑 퍼플 MDKT138PURPLE,몽돌,mongdol,https://image.msscdn.net/images/goods_img/20260817/7088559/7088559_17894389606373_500.jpg,https://www.musinsa.com/products/7088559,a0a335c427b8b71448b2e64743803488221b8fe7e0bb3a8b9a3e9697df863e11,,,,,,,,,,
MS6968276,top,Double placket slim hoodie CHARCOAL,미세키서울,misekiseoul,https://image.msscdn.net/images/goods_img/20260731/6968276/6968276_17877244078964_500.jpg,https://www.musinsa.com/products/6968276,bbc918a1b575869d157b860dd08476e4e4bc69b1563eb058fc33afb3bc5724e5,,,,,,,,,,
MS7144038,top,BC 크랙 레이어드 롱 슬리브 (BURGUNDY),버닝카포네,burningcapone,https://image.msscdn.net/images/goods_img/20260824/7144038/7144038_17875479846653_500.jpg,https://www.musinsa.com/products/7144038,54c4a01aa4156bb17501769cc610cfe88e163e2ef9d1a1c7263574d0abbdd607,,,,,,,,,,
MS5395163,top,[2PACK] 울 크롭 니트 카키멜 (+솔리드 크롭 티셔츠 증정),테이크이지,takeasy,https://image.msscdn.net/images/goods_img/20250903/5395163/5395163_17576401759546_500.jpg,https://www.musinsa.com/products/5395163,aec14e863d2018b7e6a13a5c26dc7fd66d63032361c3a8dae1cec1f12f888042,,,,,,,,,,
MS7103342,top,[구효민 pick] 스트라이프 컬러 배색 사선 스냅 라운드넥 나그랑 롱슬리브 티셔츠 [차콜],썸플레이스,someplace,https://image.msscdn.net/images/goods_img/20260819/7103342/7103342_17871193839282_500.jpg,https://www.musinsa.com/products/7103342,b75c48a26516a9cfa89e6cf1760234e15e60d6780f61672995ba6ff3bb1252e9,,,,,,,,,,
MS7112643,top,절개 아일렛 롱슬리브 3color,퍼지스캔,otherside,https://image.msscdn.net/images/goods_img/20260820/7112643/7112643_17871861219969_500.jpg,https://www.musinsa.com/products/7112643,962274bd1b287434250d6f9f9eed606b495739e8face1ac24c4a641495fbe1d8,,,,,,,,,,
MS7104626,top,핀토 딥브이넥 니트 (라이트그레이),밀리언코르,millioncor,https://image.msscdn.net/images/goods_img/20260819/7104626/7104626_17871176449651_500.jpg,https://www.musinsa.com/products/7104626,6263acf8ff46b97f5333e0bd6137ff3b418b24e534b43ce189aa3c1e6603ece2,,,,,,,,,,
MS7102714,top,[구효민 pick] 스트라이프 컬러 배색 버튼 베이직 롱 슬리브 후드 티셔츠  [블랙],썸플레이스,someplace,https://image.msscdn.net/images/goods_img/20260819/7102714/7102714_17884011257302_500.jpg,https://www.musinsa.com/products/7102714,123a502217a28697ff7a944b9dfbc93a1f21d57343fb041f87a55f72e1f5baf9,,,,,,,,,,
MS7119658,top,Check frill pintuck blouse_2colors,유라고,urago,https://image.msscdn.net/images/goods_img/20260820/7119658/7119658_17884017474932_500.jpg,https://www.musinsa.com/products/7119658,92094ec4a85a6dba000491392981330935d1e8bfa0f1f53dadd579779b930348,,,,,,,,,,
MS7169307,top,[소프트얀] 딥 브이넥 니트_SPKWG49G01,스파오,spao,https://image.msscdn.net/images/goods_img/20260826/7169307/7169307_17891092581531_500.jpg,https://www.musinsa.com/products/7169307,ce9eb8177ed513ef9b68b8d95a83d13cb963c3e2db45eb2fcba0a6f4e5174f70,,,,,,,,,,
MS7131730,top,베이직 셔링 7부 티셔츠,인무드,inmood,https://image.msscdn.net/images/goods_img/20260821/7131730/7131730_17872949779651_500.jpg,https://www.musinsa.com/products/7131730,3f0e431514a1aefa52b82b482801499500f0f5eab06097d9b3582662aeb32e29,,,,,,,,,,
MS7079083,top,[김승환 콜라보] 롤업 버튼 울 헨리넥 니트_[LEMON],노이즈,noise,https://image.msscdn.net/images/goods_img/20260814/7079083/7079083_17881614940337_500.jpg,https://www.musinsa.com/products/7079083,05c65f42ddbbf269de0dcf24af646d80c44b63d1e99284c8cb8cc5477efb4689,,,,,,,,,,
